0,1,13,0,4
0,1,13,0,5
0,2,12,0,3
0,2,12,0,4
0,3,11,0,2
0,3,12,0,2
0,3,12,0,3
0,4,10,0,1
0,4,11,0,1
0,4,11,0,2
0,5,9,0,0
0,5,9,0,1
0,5,10,0,1
0,6,8,1,0
0,6,9,1,0
0,7,8,1,0
1,0,13,0,6
1,1,13,0,5
1,8,6,2,0
1,8,7,2,0
1,9,6,2,0
1,9,6,3,0
2,0,13,1,6
2,0,13,1,7
2,0,13,1,8
2,0,14,1,7
2,9,5,3,0
2,10,5,4,0
3,0,13,1,8
3,0,13,2,8
3,0,13,2,9
3,10,4,4,0
3,11,4,5,0
4,0,13,2,9
4,0,13,3,9
4,0,13,3,10
4,11,3,5,0
4,12,3,6,0
5,0,13,3,10
5,0,13,4,10
5,0,13,4,11
5,12,2,6,0
5,12,2,7,1
6,0,12,4,11
6,0,12,5,11
6,12,2,7,1
6,13,1,8,1
6,13,1,8,2
7,0,12,5,11
7,0,12,5,12
7,1,11,6,12
7,13,1,8,2
7,13,1,9,2
8,1,11,6,12
8,1,11,7,13
8,13,0,9,2
8,13,0,9,3
8,13,0,10,3
9,1,10,7,13
9,2,10,8,13
9,13,0,10,3
9,13,0,10,4
9,14,0,11,4
10,2,9,8,13
10,3,9,9,13
10,13,0,11,4
10,13,0,11,5
10,13,0,12,5
11,3,8,9,13
11,4,8,10,13
11,13,0,12,5
11,13,0,12,6
11,13,0,12,7
12,4,7,10,14
12,4,7,11,13
12,5,6,11,13
12,5,7,11,13
12,12,0,13,8
12,13,0,13,7
13,6,5,12,13
13,7,4,12,13
13,7,5,12,13
13,8,3,13,12
13,8,4,13,12
13,8,4,13,13
13,9,2,13,11
13,9,3,13,12
13,10,1,13,10
13,10,1,13,11
13,10,2,13,11
13,11,1,13,9
13,11,1,13,10
13,11,1,14,10
13,12,0,13,8
13,12,0,13,9
14,9,2,13,12
