0,5,10,0
0,5,11,0
0,6,10,0
0,7,9,0
0,8,8,0
0,8,9,0
0,9,7,0
0,10,5,1
0,10,6,0
0,11,4,1
0,11,5,1
1,3,12,0
1,4,11,0
1,4,12,0
1,12,3,2
1,12,3,3
1,12,4,2
2,2,13,1
2,3,12,1
2,3,13,1
2,13,2,3
2,13,2,4
3,1,13,2
3,2,13,1
3,2,13,2
3,13,1,4
3,13,1,5
3,13,2,4
4,1,13,2
4,1,13,3
4,13,0,6
4,13,1,5
5,0,13,3
5,0,13,4
5,0,14,4
5,1,13,3
5,13,0,7
5,14,0,6
6,0,13,4
6,0,13,5
6,13,0,7
6,13,0,8
7,0,13,5
7,0,13,6
7,13,0,8
7,13,0,9
8,0,13,6
8,0,13,7
8,12,0,10
8,13,0,9
8,13,0,10
9,0,12,8
9,0,13,7
9,12,0,10
9,12,0,11
10,0,11,9
10,0,12,8
10,0,12,9
10,11,0,11
10,11,0,12
10,12,0,11
11,0,11,9
11,0,11,10
11,10,0,12
11,10,1,12
11,11,0,12
12,1,9,11
12,1,10,10
12,1,10,11
12,9,1,13
12,9,2,13
12,10,1,13
13,2,8,12
13,2,9,12
13,3,7,13
13,3,8,12
13,4,6,13
13,5,4,13
13,5,5,13
13,6,4,13
13,6,4,14
13,7,3,13
13,8,2,13
13,8,3,13
14,5,5,13
