0,1,13,0,5,9,0
0,1,13,0,5,10,0
0,2,12,0,3,11,0
0,2,12,0,4,10,0
0,2,12,0,4,11,0
0,3,11,0,2,12,0
0,3,11,0,3,11,0
0,3,12,0,3,11,0
0,4,10,0,2,12,0
0,4,11,0,2,12,0
0,5,9,0,1,13,0
0,5,10,0,1,12,0
0,5,10,0,1,13,0
0,6,8,1,0,13,0
0,6,9,0,1,13,0
0,7,7,1,0,13,1
0,7,8,1,0,13,0
0,7,8,1,0,13,1
0,8,7,2,0,13,1
1,0,13,0,6,8,1
1,1,13,0,5,9,0
1,1,13,0,6,8,0
1,1,13,0,6,9,0
1,8,6,2,0,13,1
1,8,7,2,0,13,1
1,9,5,3,0,13,2
1,9,6,2,0,13,2
1,9,6,2,0,14,2
2,0,13,0,7,8,1
2,0,13,1,7,7,1
2,0,13,1,8,6,2
2,0,13,1,8,7,1
2,10,4,4,0,13,3
2,10,5,3,0,13,2
2,10,5,3,0,13,3
3,0,13,1,9,6,2
3,0,13,2,9,5,3
3,0,13,2,9,6,2
3,0,14,1,8,6,2
3,11,3,5,0,13,4
3,11,4,4,0,13,3
3,11,4,5,0,13,4
4,0,13,2,9,5,3
4,0,13,2,10,5,3
4,0,13,3,10,4,3
4,12,2,6,0,12,5
4,12,3,5,0,13,5
4,12,3,6,0,12,5
5,0,13,3,10,4,4
5,0,13,3,11,4,4
5,0,13,4,11,3,4
5,12,2,7,0,12,6
5,13,1,7,1,12,6
6,0,12,4,11,3,5
6,0,13,4,11,3,5
6,13,1,7,1,11,7
6,13,1,8,1,11,7
7,0,12,5,12,2,6
7,0,12,6,12,2,6
7,13,0,9,2,10,8
7,13,1,9,2,10,8
8,0,12,6,12,1,7
8,1,11,6,13,1,7
8,13,0,9,2,10,9
8,13,0,10,2,9,9
8,13,0,10,3,9,9
9,1,10,7,13,1,8
9,1,10,8,13,0,8
9,1,11,7,13,1,8
9,13,0,11,3,8,10
9,13,0,11,4,8,10
9,14,0,10,3,9,10
10,2,9,8,13,0,9
10,2,9,9,13,0,10
10,2,10,8,13,0,9
10,13,0,11,4,7,11
10,13,0,11,4,8,10
10,13,0,12,4,7,11
10,13,0,12,5,7,11
11,3,8,10,13,0,10
11,3,8,10,14,0,11
11,3,9,9,13,0,10
11,13,0,12,5,6,12
11,13,0,12,5,7,11
11,13,0,12,6,6,12
11,13,0,13,6,5,12
12,4,7,11,13,0,11
12,4,8,10,13,0,11
12,5,6,11,13,0,12
12,5,7,11,13,0,12
12,12,0,13,7,4,13
12,12,0,13,7,5,13
12,12,0,13,8,4,13
12,13,0,13,7,5,12
13,5,6,11,13,0,12
13,6,5,12,13,0,12
13,6,5,12,13,0,13
13,6,6,12,13,0,12
13,7,4,13,12,0,13
13,7,5,12,13,0,13
13,8,3,13,12,0,13
13,8,3,13,12,1,13
13,8,4,13,12,0,13
13,9,2,13,11,1,13
13,10,1,13,10,2,13
13,10,2,13,10,2,13
13,10,2,13,10,2,14
13,10,2,13,11,1,13
13,11,1,13,9,2,13
13,11,1,13,9,3,13
13,11,1,14,10,2,13
13,12,0,13,8,3,13
13,12,0,13,8,4,13
14,9,3,13,11,1,13
